"ozon","zon","temp_F","wind","maand"
41,190,67,7.4,5
36,118,72,8,5
12,149,74,12.6,5
18,313,62,11.5,5
28,NA,66,14.9,5
23,299,65,8.6,5
19,99,59,13.8,5
8,19,61,20.1,5
7,NA,74,6.9,5
16,256,69,9.7,5
11,290,66,9.2,5
14,274,68,10.9,5
18,65,58,13.2,5
14,334,64,11.5,5
34,307,66,12,5
6,78,57,18.4,5
30,322,68,11.5,5
11,44,62,9.7,5
1,8,59,9.7,5
11,320,73,16.6,5
4,25,61,9.7,5
32,92,61,12,5
23,13,67,12,5
45,252,81,14.9,5
115,223,79,5.7,5
37,279,76,7.4,5
29,127,82,9.7,6
71,291,90,13.8,6
39,323,87,11.5,6
23,148,82,8,6
21,191,77,14.9,6
37,284,72,20.7,6
20,37,65,9.2,6
12,120,73,11.5,6
13,137,76,10.3,6
135,269,84,4.1,7
49,248,85,9.2,7
32,236,81,9.2,7
64,175,83,4.6,7
40,314,83,10.9,7
77,276,88,5.1,7
97,267,92,6.3,7
97,272,92,5.7,7
85,175,89,7.4,7
10,264,73,14.3,7
27,175,81,14.9,7
7,48,80,14.3,7
48,260,81,6.9,7
35,274,82,10.3,7
61,285,84,6.3,7
79,187,87,5.1,7
63,220,85,11.5,7
16,7,74,6.9,7
80,294,86,8.6,7
108,223,85,8,7
20,81,82,8.6,7
52,82,86,12,7
82,213,88,7.4,7
50,275,86,7.4,7
64,253,83,7.4,7
59,254,81,9.2,7
39,83,81,6.9,8
9,24,81,13.8,8
16,77,82,7.4,8
78,NA,86,6.9,8
35,NA,85,7.4,8
66,NA,87,4.6,8
122,255,89,4,8
89,229,90,10.3,8
110,207,90,8,8
44,192,86,11.5,8
28,273,82,11.5,8
65,157,80,9.7,8
22,71,77,10.3,8
59,51,79,6.3,8
23,115,76,7.4,8
31,244,78,10.9,8
44,190,78,10.3,8
21,259,77,15.5,8
9,36,72,14.3,8
45,212,79,9.7,8
168,238,81,3.4,8
73,215,86,8,8
76,203,97,9.7,8
118,225,94,2.3,8
84,237,96,6.3,8
85,188,94,6.3,8
96,167,91,6.9,9
78,197,92,5.1,9
73,183,93,2.8,9
91,189,93,4.6,9
47,95,87,7.4,9
32,92,84,15.5,9
20,252,80,10.9,9
23,220,78,10.3,9
21,230,75,10.9,9
24,259,73,9.7,9
44,236,81,14.9,9
21,259,76,15.5,9
28,238,77,6.3,9
9,24,71,10.9,9
13,112,71,11.5,9
46,237,78,6.9,9
18,224,67,13.8,9
13,27,76,10.3,9
24,238,68,10.3,9
16,201,82,8,9
13,238,64,12.6,9
23,14,71,9.2,9
36,139,81,10.3,9
7,49,69,10.3,9
14,20,63,16.6,9
30,193,70,6.9,9
14,191,75,14.3,9
18,131,76,8,9
20,223,68,11.5,9
