"groep","gewicht"
"controle",4.17
"controle",5.58
"controle",5.18
"controle",6.11
"controle",4.5
"controle",4.61
"controle",5.17
"controle",4.53
"controle",5.33
"controle",5.14
"behandeling1",4.81
"behandeling1",4.17
"behandeling1",4.41
"behandeling1",3.59
"behandeling1",5.87
"behandeling1",3.83
"behandeling1",6.03
"behandeling1",4.89
"behandeling1",4.32
"behandeling1",4.69
"behandeling2",6.31
"behandeling2",5.12
"behandeling2",5.54
"behandeling2",5.5
"behandeling2",5.37
"behandeling2",5.29
"behandeling2",4.92
"behandeling2",6.15
"behandeling2",5.8
"behandeling2",5.26
