naam	waarde	waarvoor
M_karaat	1	H1 gemiddelde karaat
SD_karaat	0.3908	H1 spreiding karaat
M_glans	50	H1 gemiddelde glans
SD_glans	21.7423	H1 spreiding glans
r_karaat_glans	0.5777	H4 correlatie
r2_enkelvoudig	0.3338	H4 verklaarde variantie
b0_enkelvoudig	17.8571	H4 intercept — het lege adres
b1_karaat	32.1429	H4 helling per karaat
p_helling	0.0491	H4 p van de helling
b0_mra	9.3583	H8 intercept met twee voorspellers
b_karaat_mra	0.9804	H8 karaat na correctie voor gladheid
b_gladheid	7.9323	H8 helling gladheid
r2_mra	0.8187	H8 verklaarde variantie
b0_merk	40	H9 gemiddelde glans golfje
b_merk	20	H9 verschil sterretje - golfje
b_interactie	2.6372	H10 interactie gladheid x merk
p_interactie	0.0543	H10 p van de interactie
b0_logit	-2.9697	H12 logit-intercept
b_logit	2.5431	H12 logit-helling karaat
or_karaat	12.7189	H12 odds ratio per karaat
karaat_Anna	0.4	karaat van Anna
glans_Anna	20	glans van Anna
karaat_Bram	0.5	karaat van Bram
glans_Bram	30	glans van Bram
karaat_Cees	0.5	karaat van Cees
glans_Cees	30	glans van Cees
karaat_Dora	0.7	karaat van Dora
glans_Dora	30	glans van Dora
karaat_Else	1	karaat van Else
glans_Else	50	glans van Else
karaat_Faas	1	karaat van Faas
glans_Faas	70	glans van Faas
karaat_Geer	1.1	karaat van Geer
glans_Geer	80	glans van Geer
karaat_Hans	1.2	karaat van Hans
glans_Hans	60	glans van Hans
karaat_Ida	1.3	karaat van Ida
glans_Ida	70	glans van Ida
karaat_Joop	1.3	karaat van Joop
glans_Joop	80	glans van Joop
karaat_Kees	1.5	karaat van Kees
glans_Kees	30	glans van Kees
karaat_Leen	1.5	karaat van Leen
glans_Leen	50	glans van Leen
