"id","soort","sekse","snavellengte","snaveldiepte","vinlengte","gewicht","stikstof","koolstof"
1,"Adelie","male",39.1,18.7,181,3750,NA,NA
2,"Adelie","female",39.5,17.4,186,3800,8.94956,-24.69454
3,"Adelie","female",40.3,18,195,3250,8.36821,-25.33302
4,"Adelie","female",36.7,19.3,193,3450,8.76651,-25.32426
5,"Adelie","male",39.3,20.6,190,3650,8.66496,-25.29805
6,"Adelie","female",38.9,17.8,181,3625,9.18718,-25.21799
7,"Adelie","male",39.2,19.6,195,4675,9.4606,-24.89958
8,"Adelie",NA,34.1,18.1,193,3475,NA,NA
9,"Adelie",NA,42,20.2,190,4250,9.13362,-25.09368
10,"Adelie",NA,37.8,17.1,186,3300,8.63243,-25.21315
11,"Adelie",NA,37.8,17.3,180,3700,NA,NA
12,"Adelie","female",41.1,17.6,182,3200,NA,NA
13,"Adelie","male",38.6,21.2,191,3800,NA,NA
14,"Adelie","male",34.6,21.1,198,4400,8.55583,-25.22588
15,"Adelie","female",36.6,17.8,185,3700,NA,NA
16,"Adelie","female",38.7,19,195,3450,9.18528,-25.06691
17,"Adelie","male",42.5,20.7,197,4500,8.67538,-25.13993
18,"Adelie","female",34.4,18.4,184,3325,8.47827,-25.23319
19,"Adelie","male",46,21.5,194,4200,9.11616,-24.77227
20,"Adelie","female",37.8,18.3,174,3400,8.73762,-25.09383
21,"Adelie","male",37.7,18.7,180,3600,8.66271,-25.0639
22,"Adelie","female",35.9,19.2,189,3800,9.22286,-25.03474
23,"Adelie","male",38.2,18.1,185,3950,8.43423,-25.22664
24,"Adelie","male",38.8,17.2,180,3800,9.63954,-25.29856
25,"Adelie","female",35.3,18.9,187,3800,9.21292,-24.3613
26,"Adelie","male",40.6,18.6,183,3550,8.93997,-25.36288
27,"Adelie","female",40.5,17.9,187,3200,8.08138,-25.49448
28,"Adelie","female",37.9,18.6,172,3150,8.38404,-25.19837
29,"Adelie","male",40.5,18.9,180,3950,8.90027,-25.11609
30,"Adelie","female",39.5,16.7,178,3250,9.69756,-25.11223
31,"Adelie","male",37.2,18.1,178,3900,9.72764,-25.0102
32,"Adelie","female",39.5,17.8,188,3300,9.66523,-25.0602
33,"Adelie","male",40.9,18.9,184,3900,8.79665,-25.14591
34,"Adelie","female",36.4,17,195,3325,9.17847,-25.23061
