id,item01,item02,item03,item04,item05,item06,item07,item08,item09,item10,item11,item12,item13,item14,item15,item16,item17,item18,item19,item20,item21,item22,item23,item24,item25,item26,item27,item28,item29,item30,item31,item32,item33,item34
l01,7,6,7,7,7,6,7,7,6,7,7,7,6,7,6,6,6,6,7,7,6,6,7,7,7,5,6,5,6,4,7,4,7,7
l02,6,5,6,6,6,5,6,6,5,6,6,5,6,5,3,7,6,5,5,6,6,7,4,6,7,5,5,7,5,6,6,5,6,6
l03,6,4,5,4,5,4,6,5,5,6,6,5,5,4,6,4,6,4,5,5,5,6,5,4,6,5,5,5,5,4,6,5,5,7
l04,6,6,7,5,7,6,7,6,4,7,7,6,7,5,6,5,6,5,6,7,7,5,5,7,6,6,7,7,5,7,7,4,5,5
l05,6,7,7,5,6,6,7,6,5,6,7,5,7,6,6,6,6,4,5,6,7,6,6,6,6,6,6,6,5,7,6,6,3,5
l06,6,6,6,5,4,7,7,5,4,6,5,5,6,6,7,6,6,5,6,6,6,6,6,5,6,6,6,5,5,4,5,6,4,6
l07,7,7,7,5,7,7,7,7,7,7,7,6,7,7,6,7,6,6,6,7,7,5,7,7,7,7,7,7,7,6,7,5,6,7
l08,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,6,7,7,7,7,7,7,6,5,7,7,7,7,7,6,7,7
l09,7,6,7,6,6,5,5,6,6,6,6,5,5,6,5,7,6,6,6,7,7,5,6,7,6,5,7,5,5,5,6,6,6,6
l10,6,5,6,5,6,5,5,6,6,6,7,6,5,5,4,5,7,6,6,4,7,5,6,5,6,6,6,6,7,6,6,4,7,6
l11,7,6,7,5,6,6,6,6,6,6,7,5,6,5,5,5,5,6,6,7,6,7,5,6,6,6,6,6,6,6,6,7,7,6
l12,6,6,6,6,6,6,6,6,6,6,5,7,5,7,6,5,6,3,5,6,5,5,7,6,5,5,6,4,5,6,5,5,5,5
l13,5,5,6,5,6,6,4,5,5,5,6,5,5,5,6,6,6,5,5,5,7,6,6,5,3,4,5,5,5,6,6,6,5,4
