"id","soort","sekse","snavellengte","snaveldiepte","vinlengte","gewicht"
1,"Adelie","male",39.1,18.7,181,3750
2,"Adelie","female",39.5,17.4,186,3800
3,"Adelie","female",40.3,18,195,3250
4,"Adelie","female",36.7,19.3,193,3450
5,"Adelie","male",39.3,20.6,190,3650
6,"Adelie","female",38.9,17.8,181,3625
7,"Adelie","male",39.2,19.6,195,4675
8,"Adelie",NA,34.1,18.1,193,3475
9,"Adelie",NA,42,20.2,190,4250
10,"Adelie",NA,37.8,17.1,186,3300
11,"Adelie",NA,37.8,17.3,180,3700
12,"Adelie","female",41.1,17.6,182,3200
13,"Adelie","male",38.6,21.2,191,3800
14,"Adelie","male",34.6,21.1,198,4400
15,"Adelie","female",36.6,17.8,185,3700
16,"Adelie","female",38.7,19,195,3450
17,"Adelie","male",42.5,20.7,197,4500
18,"Adelie","female",34.4,18.4,184,3325
19,"Adelie","male",46,21.5,194,4200
20,"Adelie","female",37.8,18.3,174,3400
21,"Adelie","male",37.7,18.7,180,3600
22,"Adelie","female",35.9,19.2,189,3800
23,"Adelie","male",38.2,18.1,185,3950
24,"Adelie","male",38.8,17.2,180,3800
25,"Adelie","female",35.3,18.9,187,3800
26,"Adelie","male",40.6,18.6,183,3550
27,"Adelie","female",40.5,17.9,187,3200
28,"Adelie","female",37.9,18.6,172,3150
29,"Adelie","male",40.5,18.9,180,3950
30,"Adelie","female",39.5,16.7,178,3250
31,"Adelie","male",37.2,18.1,178,3900
32,"Adelie","female",39.5,17.8,188,3300
33,"Adelie","male",40.9,18.9,184,3900
34,"Adelie","female",36.4,17,195,3325
35,"Adelie","male",39.2,21.1,196,4150
36,"Adelie","male",38.8,20,190,3950
37,"Adelie","female",42.2,18.5,180,3550
38,"Adelie","female",37.6,19.3,181,3300
39,"Adelie","male",39.8,19.1,184,4650
40,"Adelie","female",36.5,18,182,3150
41,"Adelie","male",40.8,18.4,195,3900
42,"Adelie","female",36,18.5,186,3100
43,"Adelie","male",44.1,19.7,196,4400
44,"Adelie","female",37,16.9,185,3000
45,"Adelie","male",39.6,18.8,190,4600
46,"Adelie","male",41.1,19,182,3425
47,"Adelie",NA,37.5,18.9,179,2975
48,"Adelie","female",36,17.9,190,3450
49,"Adelie","male",42.3,21.2,191,4150
50,"Adelie","female",39.6,17.7,186,3500
51,"Adelie","male",40.1,18.9,188,4300
52,"Adelie","female",35,17.9,190,3450
53,"Adelie","male",42,19.5,200,4050
54,"Adelie","female",34.5,18.1,187,2900
55,"Adelie","male",41.4,18.6,191,3700
56,"Adelie","female",39,17.5,186,3550
57,"Adelie","male",40.6,18.8,193,3800
58,"Adelie","female",36.5,16.6,181,2850
59,"Adelie","male",37.6,19.1,194,3750
60,"Adelie","female",35.7,16.9,185,3150
61,"Adelie","male",41.3,21.1,195,4400
62,"Adelie","female",37.6,17,185,3600
63,"Adelie","male",41.1,18.2,192,4050
64,"Adelie","female",36.4,17.1,184,2850
65,"Adelie","male",41.6,18,192,3950
66,"Adelie","female",35.5,16.2,195,3350
67,"Adelie","male",41.1,19.1,188,4100
68,"Adelie","female",35.9,16.6,190,3050
69,"Adelie","male",41.8,19.4,198,4450
70,"Adelie","female",33.5,19,190,3600
71,"Adelie","male",39.7,18.4,190,3900
72,"Adelie","female",39.6,17.2,196,3550
73,"Adelie","male",45.8,18.9,197,4150
74,"Adelie","female",35.5,17.5,190,3700
75,"Adelie","male",42.8,18.5,195,4250
76,"Adelie","female",40.9,16.8,191,3700
77,"Adelie","male",37.2,19.4,184,3900
78,"Adelie","female",36.2,16.1,187,3550
79,"Adelie","male",42.1,19.1,195,4000
80,"Adelie","female",34.6,17.2,189,3200
81,"Adelie","male",42.9,17.6,196,4700
82,"Adelie","female",36.7,18.8,187,3800
83,"Adelie","male",35.1,19.4,193,4200
84,"Adelie","female",37.3,17.8,191,3350
85,"Adelie","male",41.3,20.3,194,3550
86,"Adelie","male",36.3,19.5,190,3800
87,"Adelie","female",36.9,18.6,189,3500
88,"Adelie","male",38.3,19.2,189,3950
89,"Adelie","female",38.9,18.8,190,3600
90,"Adelie","female",35.7,18,202,3550
91,"Adelie","male",41.1,18.1,205,4300
92,"Adelie","female",34,17.1,185,3400
93,"Adelie","male",39.6,18.1,186,4450
94,"Adelie","female",36.2,17.3,187,3300
95,"Adelie","male",40.8,18.9,208,4300
96,"Adelie","female",38.1,18.6,190,3700
97,"Adelie","male",40.3,18.5,196,4350
98,"Adelie","female",33.1,16.1,178,2900
99,"Adelie","male",43.2,18.5,192,4100
100,"Adelie","female",35,17.9,192,3725
101,"Adelie","male",41,20,203,4725
102,"Adelie","female",37.7,16,183,3075
103,"Adelie","male",37.8,20,190,4250
104,"Adelie","female",37.9,18.6,193,2925
105,"Adelie","male",39.7,18.9,184,3550
106,"Adelie","female",38.6,17.2,199,3750
107,"Adelie","male",38.2,20,190,3900
108,"Adelie","female",38.1,17,181,3175
109,"Adelie","male",43.2,19,197,4775
110,"Adelie","female",38.1,16.5,198,3825
111,"Adelie","male",45.6,20.3,191,4600
112,"Adelie","female",39.7,17.7,193,3200
113,"Adelie","male",42.2,19.5,197,4275
114,"Adelie","female",39.6,20.7,191,3900
115,"Adelie","male",42.7,18.3,196,4075
116,"Adelie","female",38.6,17,188,2900
117,"Adelie","male",37.3,20.5,199,3775
118,"Adelie","female",35.7,17,189,3350
119,"Adelie","male",41.1,18.6,189,3325
120,"Adelie","female",36.2,17.2,187,3150
121,"Adelie","male",37.7,19.8,198,3500
122,"Adelie","female",40.2,17,176,3450
123,"Adelie","male",41.4,18.5,202,3875
124,"Adelie","female",35.2,15.9,186,3050
125,"Adelie","male",40.6,19,199,4000
126,"Adelie","female",38.8,17.6,191,3275
127,"Adelie","male",41.5,18.3,195,4300
128,"Adelie","female",39,17.1,191,3050
129,"Adelie","male",44.1,18,210,4000
130,"Adelie","female",38.5,17.9,190,3325
131,"Adelie","male",43.1,19.2,197,3500
132,"Adelie","female",36.8,18.5,193,3500
133,"Adelie","male",37.5,18.5,199,4475
134,"Adelie","female",38.1,17.6,187,3425
135,"Adelie","male",41.1,17.5,190,3900
136,"Adelie","female",35.6,17.5,191,3175
137,"Adelie","male",40.2,20.1,200,3975
138,"Adelie","female",37,16.5,185,3400
139,"Adelie","male",39.7,17.9,193,4250
140,"Adelie","female",40.2,17.1,193,3400
141,"Adelie","male",40.6,17.2,187,3475
142,"Adelie","female",32.1,15.5,188,3050
143,"Adelie","male",40.7,17,190,3725
144,"Adelie","female",37.3,16.8,192,3000
145,"Adelie","male",39,18.7,185,3650
146,"Adelie","male",39.2,18.6,190,4250
147,"Adelie","female",36.6,18.4,184,3475
148,"Adelie","female",36,17.8,195,3450
149,"Adelie","male",37.8,18.1,193,3750
150,"Adelie","female",36,17.1,187,3700
151,"Adelie","male",41.5,18.5,201,4000
152,"Gentoo","female",46.1,13.2,211,4500
153,"Gentoo","male",50,16.3,230,5700
154,"Gentoo","female",48.7,14.1,210,4450
155,"Gentoo","male",50,15.2,218,5700
156,"Gentoo","male",47.6,14.5,215,5400
157,"Gentoo","female",46.5,13.5,210,4550
158,"Gentoo","female",45.4,14.6,211,4800
159,"Gentoo","male",46.7,15.3,219,5200
160,"Gentoo","female",43.3,13.4,209,4400
161,"Gentoo","male",46.8,15.4,215,5150
162,"Gentoo","female",40.9,13.7,214,4650
163,"Gentoo","male",49,16.1,216,5550
164,"Gentoo","female",45.5,13.7,214,4650
165,"Gentoo","male",48.4,14.6,213,5850
166,"Gentoo","female",45.8,14.6,210,4200
167,"Gentoo","male",49.3,15.7,217,5850
168,"Gentoo","female",42,13.5,210,4150
169,"Gentoo","male",49.2,15.2,221,6300
170,"Gentoo","female",46.2,14.5,209,4800
171,"Gentoo","male",48.7,15.1,222,5350
172,"Gentoo","male",50.2,14.3,218,5700
173,"Gentoo","female",45.1,14.5,215,5000
174,"Gentoo","female",46.5,14.5,213,4400
175,"Gentoo","male",46.3,15.8,215,5050
176,"Gentoo","female",42.9,13.1,215,5000
177,"Gentoo","male",46.1,15.1,215,5100
178,"Gentoo",NA,44.5,14.3,216,4100
179,"Gentoo","male",47.8,15,215,5650
180,"Gentoo","female",48.2,14.3,210,4600
181,"Gentoo","male",50,15.3,220,5550
182,"Gentoo","male",47.3,15.3,222,5250
183,"Gentoo","female",42.8,14.2,209,4700
184,"Gentoo","female",45.1,14.5,207,5050
185,"Gentoo","male",59.6,17,230,6050
186,"Gentoo","female",49.1,14.8,220,5150
187,"Gentoo","male",48.4,16.3,220,5400
188,"Gentoo","female",42.6,13.7,213,4950
189,"Gentoo","male",44.4,17.3,219,5250
190,"Gentoo","female",44,13.6,208,4350
191,"Gentoo","male",48.7,15.7,208,5350
192,"Gentoo","female",42.7,13.7,208,3950
193,"Gentoo","male",49.6,16,225,5700
194,"Gentoo","female",45.3,13.7,210,4300
195,"Gentoo","male",49.6,15,216,4750
196,"Gentoo","male",50.5,15.9,222,5550
197,"Gentoo","female",43.6,13.9,217,4900
198,"Gentoo","female",45.5,13.9,210,4200
199,"Gentoo","male",50.5,15.9,225,5400
200,"Gentoo","female",44.9,13.3,213,5100
201,"Gentoo","male",45.2,15.8,215,5300
202,"Gentoo","female",46.6,14.2,210,4850
203,"Gentoo","male",48.5,14.1,220,5300
204,"Gentoo","female",45.1,14.4,210,4400
205,"Gentoo","male",50.1,15,225,5000
206,"Gentoo","female",46.5,14.4,217,4900
207,"Gentoo","male",45,15.4,220,5050
208,"Gentoo","female",43.8,13.9,208,4300
209,"Gentoo","male",45.5,15,220,5000
210,"Gentoo","female",43.2,14.5,208,4450
211,"Gentoo","male",50.4,15.3,224,5550
212,"Gentoo","female",45.3,13.8,208,4200
213,"Gentoo","male",46.2,14.9,221,5300
214,"Gentoo","female",45.7,13.9,214,4400
215,"Gentoo","male",54.3,15.7,231,5650
216,"Gentoo","female",45.8,14.2,219,4700
217,"Gentoo","male",49.8,16.8,230,5700
218,"Gentoo",NA,46.2,14.4,214,4650
219,"Gentoo","male",49.5,16.2,229,5800
220,"Gentoo","female",43.5,14.2,220,4700
221,"Gentoo","male",50.7,15,223,5550
222,"Gentoo","female",47.7,15,216,4750
223,"Gentoo","male",46.4,15.6,221,5000
224,"Gentoo","male",48.2,15.6,221,5100
225,"Gentoo","female",46.5,14.8,217,5200
226,"Gentoo","female",46.4,15,216,4700
227,"Gentoo","male",48.6,16,230,5800
228,"Gentoo","female",47.5,14.2,209,4600
229,"Gentoo","male",51.1,16.3,220,6000
230,"Gentoo","female",45.2,13.8,215,4750
231,"Gentoo","male",45.2,16.4,223,5950
232,"Gentoo","female",49.1,14.5,212,4625
233,"Gentoo","male",52.5,15.6,221,5450
234,"Gentoo","female",47.4,14.6,212,4725
235,"Gentoo","male",50,15.9,224,5350
236,"Gentoo","female",44.9,13.8,212,4750
237,"Gentoo","male",50.8,17.3,228,5600
238,"Gentoo","female",43.4,14.4,218,4600
239,"Gentoo","male",51.3,14.2,218,5300
240,"Gentoo","female",47.5,14,212,4875
241,"Gentoo","male",52.1,17,230,5550
242,"Gentoo","female",47.5,15,218,4950
243,"Gentoo","male",52.2,17.1,228,5400
244,"Gentoo","female",45.5,14.5,212,4750
245,"Gentoo","male",49.5,16.1,224,5650
246,"Gentoo","female",44.5,14.7,214,4850
247,"Gentoo","male",50.8,15.7,226,5200
248,"Gentoo","male",49.4,15.8,216,4925
249,"Gentoo","female",46.9,14.6,222,4875
250,"Gentoo","female",48.4,14.4,203,4625
251,"Gentoo","male",51.1,16.5,225,5250
252,"Gentoo","female",48.5,15,219,4850
253,"Gentoo","male",55.9,17,228,5600
254,"Gentoo","female",47.2,15.5,215,4975
255,"Gentoo","male",49.1,15,228,5500
256,"Gentoo",NA,47.3,13.8,216,4725
257,"Gentoo","male",46.8,16.1,215,5500
258,"Gentoo","female",41.7,14.7,210,4700
259,"Gentoo","male",53.4,15.8,219,5500
260,"Gentoo","female",43.3,14,208,4575
261,"Gentoo","male",48.1,15.1,209,5500
262,"Gentoo","female",50.5,15.2,216,5000
263,"Gentoo","male",49.8,15.9,229,5950
264,"Gentoo","female",43.5,15.2,213,4650
265,"Gentoo","male",51.5,16.3,230,5500
266,"Gentoo","female",46.2,14.1,217,4375
267,"Gentoo","male",55.1,16,230,5850
268,"Gentoo",NA,44.5,15.7,217,4875
269,"Gentoo","male",48.8,16.2,222,6000
270,"Gentoo","female",47.2,13.7,214,4925
271,"Gentoo","female",46.8,14.3,215,4850
272,"Gentoo","male",50.4,15.7,222,5750
273,"Gentoo","female",45.2,14.8,212,5200
274,"Gentoo","male",49.9,16.1,213,5400
275,"Chinstrap","female",46.5,17.9,192,3500
276,"Chinstrap","male",50,19.5,196,3900
277,"Chinstrap","male",51.3,19.2,193,3650
278,"Chinstrap","female",45.4,18.7,188,3525
279,"Chinstrap","male",52.7,19.8,197,3725
280,"Chinstrap","female",45.2,17.8,198,3950
281,"Chinstrap","female",46.1,18.2,178,3250
282,"Chinstrap","male",51.3,18.2,197,3750
283,"Chinstrap","female",46,18.9,195,4150
284,"Chinstrap","male",51.3,19.9,198,3700
285,"Chinstrap","female",46.6,17.8,193,3800
286,"Chinstrap","male",51.7,20.3,194,3775
287,"Chinstrap","female",47,17.3,185,3700
288,"Chinstrap","male",52,18.1,201,4050
289,"Chinstrap","female",45.9,17.1,190,3575
290,"Chinstrap","male",50.5,19.6,201,4050
291,"Chinstrap","male",50.3,20,197,3300
292,"Chinstrap","female",58,17.8,181,3700
293,"Chinstrap","female",46.4,18.6,190,3450
294,"Chinstrap","male",49.2,18.2,195,4400
295,"Chinstrap","female",42.4,17.3,181,3600
296,"Chinstrap","male",48.5,17.5,191,3400
297,"Chinstrap","female",43.2,16.6,187,2900
298,"Chinstrap","male",50.6,19.4,193,3800
299,"Chinstrap","female",46.7,17.9,195,3300
300,"Chinstrap","male",52,19,197,4150
301,"Chinstrap","female",50.5,18.4,200,3400
302,"Chinstrap","male",49.5,19,200,3800
303,"Chinstrap","female",46.4,17.8,191,3700
304,"Chinstrap","male",52.8,20,205,4550
305,"Chinstrap","female",40.9,16.6,187,3200
306,"Chinstrap","male",54.2,20.8,201,4300
307,"Chinstrap","female",42.5,16.7,187,3350
308,"Chinstrap","male",51,18.8,203,4100
309,"Chinstrap","male",49.7,18.6,195,3600
310,"Chinstrap","female",47.5,16.8,199,3900
311,"Chinstrap","female",47.6,18.3,195,3850
312,"Chinstrap","male",52,20.7,210,4800
313,"Chinstrap","female",46.9,16.6,192,2700
314,"Chinstrap","male",53.5,19.9,205,4500
315,"Chinstrap","male",49,19.5,210,3950
316,"Chinstrap","female",46.2,17.5,187,3650
317,"Chinstrap","male",50.9,19.1,196,3550
318,"Chinstrap","female",45.5,17,196,3500
319,"Chinstrap","female",50.9,17.9,196,3675
320,"Chinstrap","male",50.8,18.5,201,4450
321,"Chinstrap","female",50.1,17.9,190,3400
322,"Chinstrap","male",49,19.6,212,4300
323,"Chinstrap","male",51.5,18.7,187,3250
324,"Chinstrap","female",49.8,17.3,198,3675
325,"Chinstrap","female",48.1,16.4,199,3325
326,"Chinstrap","male",51.4,19,201,3950
327,"Chinstrap","female",45.7,17.3,193,3600
328,"Chinstrap","male",50.7,19.7,203,4050
329,"Chinstrap","female",42.5,17.3,187,3350
330,"Chinstrap","male",52.2,18.8,197,3450
331,"Chinstrap","female",45.2,16.6,191,3250
332,"Chinstrap","male",49.3,19.9,203,4050
333,"Chinstrap","male",50.2,18.8,202,3800
334,"Chinstrap","female",45.6,19.4,194,3525
335,"Chinstrap","male",51.9,19.5,206,3950
336,"Chinstrap","female",46.8,16.5,189,3650
337,"Chinstrap","female",45.7,17,195,3650
338,"Chinstrap","male",55.8,19.8,207,4000
339,"Chinstrap","female",43.5,18.1,202,3400
340,"Chinstrap","male",49.6,18.2,193,3775
341,"Chinstrap","male",50.8,19,210,4100
342,"Chinstrap","female",50.2,18.7,198,3775
