"id","N1","N2","N3","N4","N5","O1","O2","O3","O4","O5"
1,3,4,2,2,3,3,6,3,4,3
2,3,3,3,5,5,4,2,4,3,3
3,4,5,4,2,3,4,2,5,5,2
4,2,5,2,4,1,3,3,4,3,5
5,2,3,4,4,3,3,3,4,3,3
6,3,5,2,2,3,4,3,5,6,1
7,1,2,2,1,1,5,2,5,6,1
8,6,3,2,6,4,3,2,4,5,3
9,5,5,2,3,3,6,6,6,6,1
10,5,5,5,2,4,5,1,5,5,2
11,3,3,4,2,3,5,3,5,6,3
12,1,2,2,2,2,4,2,4,5,2
13,1,1,1,2,1,5,3,4,4,4
14,2,4,2,2,3,5,2,5,5,5
15,4,5,4,5,5,6,6,6,3,2
16,4,4,4,4,5,5,1,5,6,3
17,6,5,5,4,4,5,1,4,5,4
18,5,6,5,5,2,4,2,2,4,2
19,5,5,5,1,1,4,1,5,3,2
20,1,3,3,2,1,6,1,3,2,4
21,2,5,5,4,6,5,1,6,6,2
22,2,2,2,2,2,6,1,5,5,2
23,4,4,4,6,6,6,1,5,6,1
24,2,3,3,1,1,6,2,5,6,2
25,2,3,1,2,1,6,4,5,5,3
26,3,3,5,3,2,5,2,6,6,1
27,4,4,5,2,3,6,1,6,4,3
28,1,4,2,2,5,2,4,5,4,1
29,5,4,4,3,1,4,4,6,5,1
30,5,5,5,6,6,4,3,3,6,5
31,3,2,4,1,2,5,2,5,5,2
32,1,2,1,3,6,6,6,5,6,1
33,2,2,4,1,3,5,5,5,4,2
34,5,3,4,4,3,4,5,4,4,3
35,2,2,2,4,1,5,5,4,5,3
36,5,6,5,5,4,5,5,4,5,2
37,1,1,1,1,1,6,1,6,6,1
38,1,2,1,2,1,5,1,6,6,1
39,2,2,3,3,3,4,3,2,5,2
40,2,3,1,3,2,4,3,5,4,3
41,2,2,3,4,5,3,5,4,4,4
42,2,2,2,2,3,5,2,5,5,1
43,2,1,4,6,5,6,5,6,6,1
44,4,5,3,5,2,3,5,4,4,2
45,3,4,2,2,4,5,4,5,3,2
46,5,5,5,5,3,3,3,2,5,1
47,4,4,1,1,1,6,3,6,6,1
48,6,6,6,3,3,3,1,4,6,2
49,1,1,1,6,5,5,6,3,6,3
50,2,2,1,1,1,5,1,5,5,6
51,6,5,5,5,6,2,5,2,6,4
52,2,3,2,3,2,5,3,5,5,2
53,2,4,4,5,3,5,1,6,6,1
54,3,4,5,5,5,4,4,6,6,3
55,5,5,5,3,2,5,2,5,5,5
56,3,4,4,4,4,4,4,4,2,1
57,1,2,1,4,1,4,3,5,5,2
58,4,4,6,5,2,2,4,3,5,5
59,4,5,4,5,5,6,6,4,6,2
60,4,4,3,1,3,5,3,3,6,3
61,3,5,3,1,3,4,1,4,6,1
62,4,3,6,6,4,4,1,6,6,3
63,2,5,5,4,2,5,4,4,6,1
64,1,2,1,5,2,6,1,6,6,1
65,1,2,2,4,2,3,2,5,5,2
66,1,2,2,5,2,6,2,3,5,2
67,2,3,3,1,3,4,1,4,6,2
68,1,3,2,2,1,6,2,4,5,3
69,5,5,4,3,5,4,1,4,2,3
70,1,2,4,4,4,5,1,5,4,2
71,2,1,2,2,3,5,1,5,4,2
72,2,2,3,3,2,5,1,4,3,4
73,2,4,2,1,1,6,3,5,4,1
74,4,3,4,4,6,5,4,5,6,3
75,4,2,2,2,4,2,3,4,2,4
76,2,3,4,5,2,4,4,3,5,1
77,3,3,3,4,3,6,2,5,6,2
78,4,4,6,6,5,6,1,6,6,1
79,3,5,4,6,4,6,2,5,6,1
80,3,3,2,2,2,4,5,4,5,2
81,2,4,5,6,6,6,5,4,6,1
